accession,assembly_f_unweighted,assembly_f_weighted,assembly_f_readmapped,ref_f_unweighted,ref_f_weighted,f_reads_mapped
DRR014782,0.27643758178487304,0.8443733283882373,0.42363883800052343,0.5369798482072403,0.8688534285809734,0.9051931896676599
DRR014785,0.27487650676657827,0.8315284176405726,0.4408175510837842,0.5511750169525876,0.8634828949789909,0.9046275571090239
DRR121397,0.13799497117835213,0.21310040616525797,0.26570651523185607,0.1102486472925782,0.1534667218901428,0.37123059678798254
DRR121401,0.11347263587825823,0.16488377439170848,0.2189018145206288,0.08440484368140722,0.10786214773831945,0.2883946763698811
ERR10695318,0.09091474290810551,0.921020528155382,0.9219848729118787,0.053441112406953706,0.7486435602595554,0.8592686029616736
ERR1414265,0.08074873855604753,0.20937678753802622,0.12196329305963857,0.1870242983199441,0.2244333194304279,0.3172245440059131
ERR1414271,0.1393346091858987,0.4593260946980063,0.298388853167326,0.2744288535029305,0.49611158265826505,0.6174339168744721
ERR1869526,0.06619380214885832,0.846113388654283,0.6320116263936488,0.1085907335907299,0.35473887346987054,0.3782286910801206
ERR1869527,0.10169005780914793,0.8642341575245305,0.7272783846191638,0.16466436303489057,0.6351863645882188,0.6945561121852296
ERR1877479,0.6227575948796539,0.9528742284849966,0.9114531686649239,0.6183479070885533,0.9247323716272964,0.9497201736434013
ERR1877482,0.4686580857551472,0.9465328174721275,0.7878787878787878,0.574840119808952,0.9546234346741146,0.9739344389307256
ERR2094168,0.25178277534204496,0.5974947299486485,0.42061614281944715,0.10727092201941879,0.2575026916710298,0.3683967967977672
ERR2094174,0.1772066996145792,0.8188059516008767,0.46832721107858727,0.0937498887456038,0.412704882843392,0.5366350395553323
ERR2094175,0.22836532206653395,0.7058682195539875,0.472273720775926,0.0905588514629728,0.23823995010953472,0.31972172276460603
ERR2114805,0.19868264382430728,0.5003664847470619,0.42526095898488936,0.100582906681604,0.27456858994409994,0.45254515449167027
ERR2135457,0.010300157107025715,0.8159157470949906,0.7293467261494604,0.0105371957774022,0.7496481709186444,0.8684508189024358
ERR2200468,0.03351548594816888,0.08916002370312752,0.06548566410495107,0.2178518760799095,0.2590190794409531,0.3559569966751345
ERR2241845,0.21136438421068024,0.517299714703569,0.5559909339714842,0.23347628326242528,0.461689622336437,0.6606284748406549
ERR2607414,0.2073438247157184,0.6263672275409328,0.47409756814073517,0.2675672401258955,0.5152050618223623,0.6783544133632582
ERR2607491,0.18005275094645934,0.4004535376605844,0.3594382324839947,0.3165284099116083,0.4738269756748764,0.6344586259796283
ERR2683635,0.1874121310315046,0.6629507947412305,0.5682512573582651,0.12331851669063428,0.35566745852364995,0.49763791303829913
ERR2683639,0.39935520693538185,0.6622154992787306,0.6821231894118192,0.19162540299566327,0.3191784206870759,0.5572433345599305
ERR2750365,0.40485401459854015,0.8186939051410117,0.6773357664233577,0.5301824817518236,0.7849618836606707,0.8881169937291903
ERR2848508,0.21197987737455515,0.5183207438734346,0.4114096655158321,0.0695209252725645,0.1663584635666858,0.33404726693410736
ERR2889251,0.2469995006560754,0.6329605884743272,0.437176873363508,0.29142336676089137,0.46810323462105075,0.6340378357738462
ERR3155587,0.1928822384551222,0.2855271976045695,0.3127838300095207,0.0160798389067216,0.020314430993033823,0.15871371741249723
ERR3155596,0.10461035583126936,0.1490964396488749,0.1673292079784467,0.0110988609983145,0.012730081553956146,0.08017069780232255
ERR3155597,0.11414442315968912,0.1487924259484799,0.16971029291386425,0.0108102178077447,0.012182431168114924,0.07633857130156473
ERR3273281,0.040071965979718675,0.8941448998682225,0.8515452774103626,0.061398643171053494,0.7865929749873265,0.9471755920017527
ERR3890099,0.01240982037328666,0.017166515537807122,0.028711629517357916,0.007728790665005399,0.010076380937613183,0.041206442622705806
ERR4398707,0.21478098807996113,0.7958995471009528,0.506935581438447,0.38709880449942496,0.7079219917818589,0.8092695653072643
ERR575692,0.05958032150178013,0.9500007646159666,0.38515481713237676,0.095263782500809,0.8138372883925312,0.8745383055240644
ERR5866866,0.02040225549649643,0.03290639306568182,0.05299949034289627,0.0105151358462822,0.015667884625098924,0.09413793854390907
ERR5866883,0.05072778657218056,0.10829309108367487,0.11711478327169293,0.010426341504562502,0.0194054337503588,0.10020513027647868
ERR5954451,0.31018521323943193,0.6846662795743509,0.5176469067365069,0.1017378057278588,0.19611557930795617,0.37951411720398537
ERR738544,0.11435857306773228,0.25638150984228214,0.4396107401959627,0.23171491115555132,0.3369327409435377,0.6629808651296378
ERR738545,0.11054074447412811,0.24764024315022481,0.43153512464712207,0.2277802217437498,0.3307535289596193,0.6614319390405745
ERR738546,0.11500081208277053,0.25749379412460893,0.4436562933862001,0.23044994490916082,0.3359261130901493,0.663050135570695
ERR9456921,0.024270568649785332,0.04501466275659824,0.03767633400508193,0.15289582055550632,0.16972140762463342,0.35082613436215715
SRR1023996,0.2524089852827266,0.5697140083209492,0.6045236250968241,0.26799380325328886,0.5399950562721314,0.7546533109830476
SRR1024014,0.27453616563592365,0.5453451436407651,0.5357473633892026,0.17627199665381948,0.2347928298560094,0.4833978782499141
SRR10527384,0.23652811372973637,0.8697522475203067,0.7907661746876874,0.28108545635987414,0.7300968140618925,0.9057168971914247
SRR10810037,0.17706626728145633,0.94092694327812,0.8154224524938135,0.20495227524128012,0.8869556462146849,0.9247927837407485
SRR11267050,0.12377035467782838,0.8520893402669893,0.8964232414767505,0.1253256831270752,0.8123198999747461,0.910523692162517
SRR11267079,0.1550517512627308,0.8541205522943763,0.8996273909083382,0.1653307940713689,0.7757941206844666,0.9282195163003253
SRR12456173,0.37816771642768604,0.9052835966303412,0.6521692920656135,0.2682742779101067,0.7867217729601018,0.8275599559227608
SRR12479795,0.15537313291750335,0.3364209728360597,0.30095594083672844,0.1650392220675132,0.2791624112176977,0.42244340753755016
SRR12480094,0.11406859231865216,0.31195617452536123,0.3355406705416617,0.1597232121131782,0.35206837349422976,0.5065634335441916
SRR12908323,0.03036801873304288,0.9407826491988712,0.8817476668130185,0.030942168484807398,0.9409737129907089,0.9901186318286181
