sample,trim_signal,inflate_signal,retention,trim_families,inflate_families,families_lost
DRR014782,5393026.0,4880041.0,0.9048799319714016,367,96,275
DRR014785,5932250.0,5306172.0,0.8944619663702642,375,86,291
DRR121397,283449.0,125786.0,0.4437694258931942,937,374,578
DRR121401,177732.0,68717.0,0.38663268291585084,934,348,604
ERR10695318,13795612.0,13742947.0,0.9961824817920365,362,81,287
ERR1414265,1252832.0,338698.0,0.2703459043191745,1908,539,1382
ERR1414271,3346726.0,2065919.0,0.6172955300194877,1929,540,1397
ERR1869526,2208082.0,2094658.0,0.9486323424582964,230,39,193
ERR1869527,4543061.0,4229840.0,0.9310550749813837,279,53,227
ERR1877479,1404816.0,1380868.0,0.9829529276431931,130,50,80
ERR1877482,1340763.0,1310430.0,0.9773763148296902,138,46,93
ERR2094168,2509814.0,2075858.0,0.8270963505662172,1761,842,936
ERR2094174,3903121.0,3705485.0,0.9493646238484535,1191,339,861
ERR2094175,2365060.0,2073703.0,0.8768077765468952,1221,547,688
ERR2114805,757026.0,597507.0,0.7892820061662347,1252,424,842
ERR2135457,16617620.0,16538909.0,0.9952634011368656,568,35,533
ERR2200468,535011.0,82351.0,0.15392393801248946,708,84,626
ERR2241845,4391647.0,3308990.0,0.7534735829177527,1103,423,695
ERR2607414,6311597.0,4834731.0,0.7660075571998656,2123,1022,1120
ERR2607491,1433933.0,790516.0,0.5512921454489157,1466,480,994
ERR2683635,874699.0,742369.0,0.8487136717888096,469,142,334
ERR2683639,111689.0,91489.0,0.8191406494820439,169,68,103
ERR2750365,96083.0,86035.0,0.8954237482176868,74,7,67
ERR2848508,1203719.0,961101.0,0.7984429920936698,1500,658,873
ERR2889251,1760005.0,1355978.0,0.7704398567049525,658,260,406
ERR3155587,26249.0,10114.0,0.3853099165682502,598,312,301
ERR3155596,22473.0,5414.0,0.24091131580118363,637,248,400
ERR3155597,19362.0,4750.0,0.24532589608511518,614,256,365
ERR3273281,1356960.0,1346898.0,0.992584895649098,117,5,112
ERR3890099,132356.0,7018.0,0.053023663453111304,2000,293,1708
ERR4398707,6163493.0,5278548.0,0.8564215129310604,647,218,434
ERR575692,1415271.0,1407922.0,0.9948073549164789,98,11,87
ERR5866866,236120.0,28499.0,0.12069710316788074,1845,404,1445
ERR5866883,167911.0,50751.0,0.30224940593528715,1539,396,1153
ERR5954451,2270341.0,1902569.0,0.8380102372286806,1358,713,658
ERR738544,1395130.0,691428.0,0.49560112677671614,887,256,635
ERR738545,1356963.0,664418.0,0.48963604755619716,896,264,637
ERR738546,1410698.0,701245.0,0.49709080185837085,890,270,626
ERR9456921,3777.0,325.0,0.08604712734974848,63,5,58
SRR1023996,198593.0,147286.0,0.7416474900928028,157,70,91
SRR1024014,21105.0,13078.0,0.6196635868277659,97,41,58
SRR10527384,5899195.0,5553626.0,0.9414209904910755,530,174,362
SRR10810037,5744347.0,5606165.0,0.9759446983268942,381,34,348
SRR11267050,11487262.0,10884311.0,0.9475113390814974,461,89,374
SRR11267079,7962369.0,7418839.0,0.9317376524499179,353,41,312
SRR12456173,6140571.0,5979569.0,0.9737806142132385,757,402,376
SRR12479795,524063.0,327705.0,0.6253160402470695,667,247,424
SRR12480094,1459244.0,882075.0,0.6044739604891299,1111,275,840
SRR12908323,3415530.0,3406507.0,0.9973582430837966,173,21,153
SRR12908327,2993334.0,2986573.0,0.9977413145342284,203,7,196
SRR15604576,7978880.0,7638540.0,0.957344890510949,318,96,226
SRR1702229,400472.0,243635.0,0.6083696238438643,1238,441,810
SRR17255031,866572.0,552353.0,0.6374000083085999,1765,757,1029
SRR17257160,8976010.0,8452556.0,0.9416829972337375,403,109,296
SRR1873849,2549396.0,2538822.0,0.9958523509097841,156,13,143
SRR1916815,1669318.0,1496939.0,0.896736870985636,924,311,615
SRR19759452,4225089.0,3718540.0,0.8801092710709763,272,81,193
SRR2107175,1033188.0,913013.0,0.8836852537969856,1258,749,528
SRR2107179,1464656.0,1398765.0,0.9550126446073344,1227,552,696
SRR2753158,1790273.0,1693460.0,0.9459227726721009,528,308,229
SRR3183878,257566.0,205950.0,0.7996008789980044,327,14,315
SRR3211795,54147.0,53643.0,0.9906920050972353,23,3,20
SRR3719568,5925163.0,5202691.0,0.8780671519078884,1455,664,800
SRR3961740,2115286.0,2057229.0,0.9725535932256915,771,154,618
SRR4069403,24822.0,5774.0,0.2326162275400854,683,112,574
SRR4305336,478457.0,396921.0,0.829585521791927,96,31,66
SRR490744,201095.0,184153.0,0.9157512618414182,103,25,78
SRR5248299,4209797.0,4188255.0,0.9948828886523507,179,46,134
SRR5438753,7053325.0,6961237.0,0.9869440299433246,778,79,704
SRR5574507,2445304.0,1975440.0,0.8078504758508553,288,91,201
SRR5808811,101294.0,21489.0,0.2121448456966849,2215,636,1590
SRR5808830,64192.0,12918.0,0.20124002991026918,1642,421,1228
SRR5924454,3327910.0,3201091.0,0.961892298770099,773,392,393
SRR6323523,2650595.0,2353503.0,0.8879149775805055,371,127,247
SRR6490004,2042527.0,1977489.0,0.9681580708602628,376,91,289
SRR6490006,1163376.0,1093035.0,0.9395371745678095,412,52,366
SRR6714105,3141332.0,2762346.0,0.8793549997262308,317,135,184
SRR6765262,269986.0,164423.0,0.6090056521449261,259,148,112
SRR7299214,1123526.0,978200.0,0.8706518585239683,1940,1171,794
SRR7610133,465394.0,452204.0,0.9716584227557725,460,289,179
SRR9109404,2878880.0,2798534.0,0.9720912299227478,550,181,376
SRR9182859,8261069.0,6629144.0,0.8024559533396949,1495,571,931
SRR9182862,7912058.0,6552254.0,0.8281352335890358,1683,693,1000
SRR975540,86869.0,71537.0,0.8235043571354569,97,10,87
